x,est_60,est_112,est_194,est_231
0,41.25,31.169354838709676,53.87096774193548,61.20967741935484
1,41.471774193548384,31.774193548387096,53.38709677419355,61.45161290322581
2,41.49193548387097,31.774193548387096,53.38709677419355,61.29032258064516
3,41.53225806451613,31.774193548387096,53.38709677419355,61.29032258064516
4,41.814516129032256,31.774193548387096,53.185483870967744,61.29032258064516
5,41.83467741935484,31.774193548387096,52.903225806451616,61.29032258064516
6,42.479838709677416,31.733870967741936,52.78225806451613,61.935483870967744
7,40.42338709677419,30.322580645161292,51.41129032258065,62.056451612903224
8,35.725806451612904,28.911290322580644,40.16129032258065,63.42741935483871
9,35.20161290322581,27.217741935483872,29.31451612903226,64.11290322580645
10,33.20564516129032,25.887096774193548,26.370967741935484,59.395161290322584
11,30.947580645161292,25.483870967741936,26.93548387096774,55.88709677419355
12,29.032258064516128,25.68548387096774,27.338709677419356,52.70161290322581
13,28.79032258064516,26.370967741935484,28.467741935483872,51.895161290322584
14,31.149193548387096,26.169354838709676,29.919354838709676,50.24193548387097
15,35.020161290322584,25.56451612903226,37.70161290322581,53.95161290322581
16,37.13709677419355,26.088709677419356,39.95967741935484,57.983870967741936
17,35.141129032258064,26.008064516129032,40.645161290322584,58.87096774193548
18,36.350806451612904,25.64516129032258,39.233870967741936,63.185483870967744
19,35.060483870967744,26.81451612903226,40.92741935483871,59.354838709677416
20,32.641129032258064,27.903225806451612,45.92741935483871,56.774193548387096
21,34.07258064516129,28.629032258064516,47.62096774193548,58.62903225806452
22,37.74193548387097,30.64516129032258,51.774193548387096,61.49193548387097
23,40.92741935483871,31.693548387096776,54.87903225806452,62.82258064516129
