x,Est_60,Est_112,Est_194,Est_231,Est_251,Est_252
0,1278.75,966.25,1670.0,1897.5,688.125,1395.0
1,2564.375,1951.25,3325.0,3802.5,1368.125,2780.0
2,3850.625,2936.25,4980.0,5702.5,2048.125,4167.5
3,5138.125,3921.25,6635.0,7602.5,2728.125,5557.5
4,6434.375,4906.25,8283.75,9502.5,3406.25,6947.5
5,7731.25,5891.25,9923.75,11402.5,4083.75,8337.5
6,9048.125,6875.0,11560.0,13322.5,4807.5,9770.0
7,10301.25,7815.0,13153.75,15246.25,5680.0,11316.25
8,11408.75,8711.25,14398.75,17212.5,6483.125,13156.25
9,12500.0,9555.0,15307.5,19200.0,7293.125,15191.25
10,13529.375,10357.5,16125.0,21041.25,8146.875,17242.5
11,14488.75,11147.5,16960.0,22773.75,9143.125,19237.5
12,15388.75,11943.75,17807.5,24407.5,10283.75,21238.75
13,16281.25,12761.25,18690.0,26016.25,11492.5,23233.75
14,17246.875,13572.5,19617.5,27573.75,12643.125,24992.5
15,18332.5,14365.0,20786.25,29246.25,13753.75,26256.25
16,19483.75,15173.75,22025.0,31043.75,14835.625,27588.75
17,20573.125,15980.0,23285.0,32868.75,15834.375,28957.5
18,21700.0,16775.0,24501.25,34827.5,16781.875,30401.25
19,22786.875,17606.25,25770.0,36667.5,17701.875,31910.0
20,23798.75,18471.25,27193.75,38427.5,18595.625,33593.75
21,24855.0,19358.75,28670.0,40245.0,19413.125,35117.5
22,26025.0,20308.75,30275.0,42151.25,20151.875,36478.75
23,27293.75,21291.25,31976.25,44098.75,20831.875,37837.5
