x,est_166,est_194,est_221,est_231,est_245
0,59.79838709677419,53.87096774193548,59.354838709677416,61.20967741935484,58.40407470288625
1,60.604838709677416,53.38709677419355,60.0,61.45161290322581,58.064516129032256
2,60.645161290322584,53.38709677419355,60.0,61.29032258064516,58.064516129032256
3,60.725806451612904,53.38709677419355,59.83870967741935,61.29032258064516,58.064516129032256
4,60.806451612903224,53.185483870967744,59.83870967741935,61.29032258064516,58.064516129032256
5,60.88709677419355,52.903225806451616,59.395161290322584,61.29032258064516,58.064516129032256
6,60.604838709677416,52.78225806451613,59.03225806451613,61.935483870967744,58.022071307300514
7,63.225806451612904,51.41129032258065,58.91129032258065,62.056451612903224,58.870967741935495
8,62.66129032258065,40.16129032258065,53.38709677419355,63.42741935483871,61.502546689303905
9,63.58870967741935,29.31451612903226,49.596774193548384,64.11290322580645,62.64855687606112
10,60.16129032258065,26.370967741935484,48.225806451612904,59.395161290322584,63.28522920203735
11,59.314516129032256,26.93548387096774,46.774193548387096,55.88709677419355,63.07300509337862
12,58.38709677419355,27.338709677419356,43.185483870967744,52.70161290322581,61.50254668930391
13,55.564516129032256,28.467741935483872,43.104838709677416,51.895161290322584,60.016977928692704
14,51.854838709677416,29.919354838709676,46.53225806451613,50.24193548387097,58.40407470288625
15,53.95161290322581,37.70161290322581,49.83870967741935,53.95161290322581,49.95755517826825
16,54.516129032258064,39.95967741935484,51.935483870967744,57.983870967741936,46.94397283531409
17,55.483870967741936,40.645161290322584,53.185483870967744,58.87096774193548,46.56196943972836
18,53.66935483870968,39.233870967741936,52.70161290322581,63.185483870967744,45.54329371816638
19,54.435483870967744,40.92741935483871,52.903225806451616,59.354838709677416,45.45840407470289
20,54.11290322580645,45.92741935483871,53.99193548387097,56.774193548387096,47.49575551782683
21,55.766129032258064,47.62096774193548,55.16129032258065,58.62903225806452,49.702886247877764
22,57.25806451612903,51.774193548387096,53.83064516129032,61.49193548387097,52.71646859083192
23,59.516129032258064,54.87903225806452,57.37903225806452,62.82258064516129,55.475382003395595
