x,est_12,est_13,est_122
0,44.67741935483871,48.79032258064516,44.83870967741935
1,44.67741935483871,49.516129032258064,44.83870967741935
2,44.67741935483871,49.596774193548384,44.83870967741935
3,44.67741935483871,49.83870967741935,44.83870967741935
4,44.67741935483871,49.83870967741935,44.83870967741935
5,44.67741935483871,49.67741935483871,44.83870967741935
6,44.556451612903224,49.395161290322584,44.83870967741935
7,43.38709677419355,50.604838709677416,45.12096774193548
8,45.524193548387096,41.935483870967744,50.32258064516129
9,47.54032258064516,34.596774193548384,63.99193548387097
10,47.37903225806452,31.89516129032258,66.69354838709677
11,46.975806451612904,29.193548387096776,68.0241935483871
12,46.29032258064516,30.56451612903226,66.5725806451613
13,45.24193548387097,31.774193548387096,63.104838709677416
14,46.00806451612903,31.89516129032258,59.07258064516129
15,47.096774193548384,33.70967741935484,54.03225806451613
16,50.564516129032256,36.61290322580645,50.96774193548387
17,49.516129032258064,34.395161290322584,50.403225806451616
18,46.53225806451613,38.064516129032256,47.13709677419355
19,47.29838709677419,36.693548387096776,44.71774193548387
20,45.685483870967744,35.36290322580645,43.75
21,43.99193548387097,38.024193548387096,43.42741935483871
22,44.07258064516129,43.46774193548387,43.38709677419355
23,42.74193548387097,48.58870967741935,43.38709677419355
